,question,category,answer,choices/0,choices/1,choices/2,choices/3
457,On which show did Elvis Presley make his first TV appearance?,history,The Dorsey Brothers Stage Show,The Dorsey Brothers Stage Show,Milton Berles Texaco Star Theater,The Ed Sullivan Show,The Steve Allen Tonight Show
458,"Which one of these was not part of the Million Dollar Quartet, formed in 1956 by Sun Records?",history,Willie Nelson,Carl Perkins,Jerry Lee Lewis,Johnny Cash,Willie Nelson
459,"What society, that inhabited southern Mesopotamia, is widely regarded as the earliest civilization on Earth?",history,Sumer,Minoan,Zapotec,Phoenicia,Sumer
460,The Rosetta stone helped scientists to decipher the alphabet of this ancient civilization.,history,Ancient Egypt,Ancient China,Ancient Rome,Ancient Greece,Ancient Egypt
461,On what Mediterranean island did the Minoan civilization arise?,history,Crete,Cyprus,Corsica,Crete,Corfu
462,"What was the predominating religion in the Achaemenid Empire, one of the first Persian empires?",history,Zoroastrianism,Rastafarianism,Zoroastrianism,Hinduism,Shamanism
463,Which was the largest empire in pre-Columbian America?,history,Inca,Maya,Toltec,Inca,Zapotec
464,This civilization arose in Central Mexico and its members spoke the Nahuatl language .,history,Aztec,Olmec,Norte Chico,Toltec,Aztec
465,"Harappan was the mature phase of this civilization that flourished in the river valleys in Sindh province of Pakistan, extending westward into Balochistan province, and in West India.",history,Indus Valley Civilization,Indus Valley Civilization,Ancient China,Mali Empire,Canaan
466,"According to legend, Ancient Rome was founded by the brothers Romulus and Remus who were raised by what animal?",history,Wolf,Monkey,Wolf,Bear,Tiger
467,Four colossal statues guard the temple Abu Simbel of what Egyptian pharaoh?,history,Ramesses II,Nebhepetre Mentuhotep II,Mentuhotep II,Tutankhamun,Ramesses II
468,What was the first civilization to make use of the alphabet that is believed to be the ancestor of all modern alphabets?,history,Phoenicia,Indus Valley Civilization,Sumer,Arab,Phoenicia
479,"WWII began on September 1, 1939, when Germany invaded this country.",history,Poland,France,Austria,Russia,Poland
480,"The first underground metro in North America, the Boston subway, was opened on September 1 of  this year.",history,1897,1911,1906,1916,1897
483,"On September 1, 1957, this Grammy Award - winning singer was born.  She began her career as lead singer for the Miami Sound Machine.",history,Gloria Estefan,Mary J. Blige,Gloria Estefan,Aaliyah,Toni Basil
484,"The passenger pigeon was one of the most common birds in the world- it is estimated that there were about five billion in the United States alone. The last passenger pigeon died on September 1, 1914 in this zoo.",history,The Cincinnati Zoo,The Giza Zoo,The Kabul Zoo,The Philadelphia Zoo,The Cincinnati Zoo
485,"On September 1, 1985, at a depth of 2 miles (3,8 km), south-east of Newfoundland, the wreck of the Titanic was discovered. Jean-Louis Michel was one of the two people who led the expedition. He was the other one.",history,Dr. Robert Ballard,Evan Forde,Dr. Robert Ballard,Jacques-Yves Cousteau,Charles David Keeling
487,"On September 1, 2004, in a small Russian town, armed terrorists took hundreds of schoolchildren and adults hostage. What was the name of the town?",history,Beslan,Chita,Beslan,Rostov,Kirishi
488,"The first Crusade was initiated by Emperor Alexius I, when he appealed to Pope Urban II for help in defending against the Muslims.   Alexius I was the ruler of this great empire.",history,The Byzantine Empire,The Holy Roman Empire,The Byzantine Empire,The Chinese Empire,The Western Roman Empire
489,"The Kingdom of Jerusalem was established after the first Crusade.  Godfrey of Bouillon was chosen to be King, but he refused the title and took this one instead.",history,Defender of the Holy Sepulchre,Slayer of the Muslims,Defender of the Holy City,Defender of the Holy Land,Defender of the Holy Sepulchre
491,The Fourth Crusade (1202â1204) was called upon by Pope Innocent II and was originally intended to retake Jerusalem by conquering this country.,history,Egypt,Bulgaria,Turkey,Egypt,The Byzantine Empire
494,"The crusaders considered themselves sort of pilgrims and so, before joining a Crusade, they swore a vow to do this.",history,To successfully reach Jerusalem,Not to steal any gold,To successfully reach Jerusalem,To preach Christianity to Muslim prisoners,To kill at least ten Muslims
495,"The military power of the Teutonic Order was broken after the Battle of Grunwald, after a defeat by these two countries.",history,Poland and Lithuania,Poland and Estonia,Poland and Lithuania,Poland and Switzerland,Poland and Turkey
496,This largest Christian military order was established in the aftermath of the First Crusade and is widely known as this.,history,The Knights Templar,The Knights of St. John,The Knights Templar,The Order of Aviz,Ordo Draconis
498,"NASA was established in this year, on July 29.",history,1958,1952,1949,1958,1962
499,"The four events in this question took place on  February 4. However, one of the pairs (event - the year in which it happened) is wrong.",history,Patty Hearst was kidnapped - 1976,First U.S. helicopter was shot down in Vietnam - 1962,Bank of the U.S. Shut Down - 1841,Patty Hearst was kidnapped - 1976,The Yalta Conference commenced - 1945
500,One of these events did not take place on March 19.,history,Indira Gandhi led India,Nevada legalized gambling,Americas first recorded bank robbery took place,General Fromm was executed for plot against Hitler,Indira Gandhi led India
502,One of these events did not take place during December.,history,Napoleon died in exile,Napoleon died in exile,Bush ordered US troops to Somalia,Irish free state was declared,The Prohibition in the US ended
503,One of these events did not take place on a summer day.,history,Admiral Nelson was buried at St. Pauls Cathedral,Admiral Nelson was buried at St. Pauls Cathedral,President Adams settled in a new capital,Donald Duck debuted,The 1936 Summer Olympics
504,1783 Treaty of Paris was signed on this day.,history,September 3,November 5,December 6,October 4,September 3
506,Magellan set out on his voyage around the world on this day.,history,"September 20, 1519","March 3, 1522","October 12, 1512","January 21, 1532","September 20, 1519"
507,"In 1799, Napoleon began his campaign to conquer the Ottoman Empire, but was eventually defeated at this city.",history,Acco,Alexandria,Acco,Bagdhad,Istanbul
508,The English Navigation Acts were a series of laws which restricted foreign shipping. Resentment against the Navigation Acts was a cause for which war?,history,The Anglo-Dutch Wars,The English Civil War,The Anglo-Dutch Wars,The Boer War,The Anglo-Berber War
509,What precipitated the 1969 six-day war between El Salvador and Honduras?,history,A soccer game,Import tariffs on Honduran goods exported into El Salvador,Import tariffs on Salvadoran goods exported into Honduras,A soccer game,Control over the oil reserves in the Gulf of Fonseca
510,"In the Battle of Gaugamela, 331 B.C. , Alexander the Great of Macedonia defeated which king?",history,Darius III,Cyrus the Great,Leonidas of Sparta,Marcellus Germanicus,Darius III
511,"F. D. Toussaint Louverture, a freed self-educated slave, was one of the leaders of which uprising?",history,Haitian Revolt,Sandanista Uprising,Rebellion of Martinique,Haitian Revolt,Revolution of  Devils Island
512,"What conflict was initiated by a self-proclaimed mystic, named Hong Xiuquan, who claimed that he was the new Messiah?",history,Taiping Rebellion,Taiping Rebellion,Turko-Russian War,Opium Wars,Boxer Revolution
513,"In this 751 A.D. military conflict between Islamic forces and Chinese forces, the Chinese were completely defeated.",history,Talas War,Talas War,Sino-Turkish War,Opium War,Boxer Revolution
514,"This conflict, which lasted from 1839 to 1842, is regarded as a trade-inspired war between Great Britain and the Qing Empire in China.",history,The First Opium War,The War of the Roses,The First Opium War,The Shanghai Revolution,Boxer Rebellion
515,"The Great Northern War was the war fought between a coalition of Russia, Denmark-Norway and Saxony-Poland one side and Sweden on the other side. The coalition attacked Sweden in what year?",history,1700,1942,1700,1917,1864
516,"The Battle of CrÃ©cy, which took place on 26 August 1346, was one of the most important battles of a war conflict between which two countries?",history,France and England,France and England,France and Flanders,France and Spain,France and Prussia
517,"In this film, the Vietnam War veteran, played by Roy Scheider experienced a war flashback, involving the execution of an enemy soldier.",history,Blue Thunder,Blue Thunder,Blackhawk Down,Jaws II,A Bridge  Too Far
518,"What was the name of the 1989 film, directed by Brian De Palma, in which a Vietnamese girl is kidnapped, raped and murdered by US troops?",history,Casualties of War,Platoon,The Village,Apocalypse Now,Casualties of War
519,In this movie the main character experiences a flashback in which he is tied in a crucifying position and being slowly slashed with a large knife.,history,First Blood,First Blood,Uncommon Valor,Iron Eagle,Rambo III
520,"Which country occupied Vietnam from the end of WW II to 1954, setting the scene for a civil war between North and South Vietnam?",history,France,India,Holland,China,France
521,The Henry House can be found on which Civil war battlefield?,history,Bull Run,South Mountain,Petersburg,Cedar Creek,Bull Run
522,Elkhorn Tavern is located on which battlefield?,history,Pea Ridge,Pea Ridge,Chickamauga,Franklin,Wilsons Creek
523,Hornets Nest is associated with which battlefield?,history,Shiloh,Shiloh,Corinth,Chattanooga,Iuka
524,The Burnside Bridge is related to which Civil War battlefield?,history,Antietam,Glorietta Pass,Chantilly,Cheat Mountain,Antietam
525,"The Maryes Heights are a landmark, found on which battlefield?",history,Fredericksburg,Cold Harbor,Chancellorsville,Fair Oaks,Fredericksburg
526,On which battlefield was Lookout Mountain a dominant feature?,history,Chattanooga,Chattanooga,Peachtree Creek,Mechanicsville,Seven Pines
527,"Farmland, owned by the McPherson family, the Cordori family, the Spangler family, the Culp family, and the Rose family is part of which battlefield?",history,Gettysburg,Cedar Mountain,Gettysburg,Franklin,Bull Run
